KUNNR,NAME1,ORT01,LAND1,KUKLA,KDGRP
C000001,"Miller, Oliver and Wilson",Amberport,US,A,03
C000002,"Diaz, Maldonado and Bailey",West Laurenville,GB,A,01
C000003,Potts-Mitchell,East Natalieshire,DE,C,01
C000004,Tucker PLC,Kimberlyville,SE,A,03
C000005,"Tucker, Carrillo and Mosley",Danielberg,FR,A,01
C000006,"Lutz, Conley and Downs",Smithborough,US,A,01
C000007,"Smith, Watts and Moore",Durhamstad,SE,C,01
C000008,Wright-Stafford,Gonzalesview,SE,A,03
C000009,Powell-Estrada,Port Crystalburgh,SE,B,01
C000010,Snyder LLC,New Michaelville,FR,C,02
C000011,"Castillo, Clark and Liu",Kevinberg,US,A,03
C000012,"Allen, Smith and Orr",Jonesland,FR,B,02
C000013,Jackson-Morton,Edwardsbury,DE,A,02
C000014,"Johnson, Robinson and Freeman",Martinmouth,US,A,02
C000015,Edwards Group,North Yvette,US,B,02
C000016,"Cruz, Moore and Anderson",Brianville,SE,B,01
C000017,"Rivas, Williams and Gardner",Hillview,FR,C,01
C000018,"Murphy, Dickerson and Garcia",Crawfordmouth,FR,A,03
C000019,Flowers-Norris,North Brandy,GB,C,03
C000020,Smith and Sons,New Kylemouth,GB,C,01
C000021,"Miller, Murphy and Rose",Savagefurt,US,A,03
C000022,"Pearson, Wood and Hayes",North Carlaberg,DE,B,01
C000023,Gonzalez Inc,Gregoryhaven,DE,A,02
C000024,Huynh Group,New Virginiafurt,GB,B,03
C000025,"Maddox, Long and Jenkins",North Stanleyberg,GB,A,02
C000026,Meadows Group,Lake Patrick,GB,A,03
C000027,Hester-Smith,Lake Sarahburgh,GB,C,03
C000028,"Mcgee, Walker and Brooks",Jillview,US,C,03
C000029,Mccall-Moore,East Nathanielborough,DE,C,03
C000030,"Vasquez, Davis and Roberts",East Lesliemouth,DE,A,02
C000031,"Gomez, Turner and Newman",Jamesfort,FR,B,03
C000032,"Black, Taylor and Stanley",Lake Veronicaville,SE,A,03
C000033,Brewer-Cox,Davidport,GB,A,01
C000034,"Horton, Bolton and Torres",North Sarahchester,US,B,02
C000035,Lozano Group,Christopherborough,GB,A,01
C000036,"Foster, Hanna and Dean",Campbellmouth,SE,C,02
C000037,Cameron-Woods,Solomonburgh,DE,C,02
C000038,Arnold and Sons,West Andre,FR,C,02
C000039,"Walker, Henderson and Andrade",Jonesview,DE,B,01
C000040,Brown Group,Brittanyview,DE,C,03
C000041,Richardson-Ingram,West Andreaburgh,SE,B,03
C000042,Pennington-Leonard,Phillipsmouth,SE,B,03
C000043,Jackson Ltd,Gonzalezshire,FR,B,01
C000044,"Vargas, Marshall and Stevens",Aaronberg,DE,C,02
C000045,Allen Inc,East Brendaside,US,A,01
C000046,Bennett-Miller,Port Richardview,DE,C,01
C000047,Kelly Ltd,Emilyberg,FR,C,01
C000048,"Bowen, Mata and Lewis",Port Danielchester,FR,B,03
C000049,Hart-Johnson,Davisbury,FR,C,02
C000050,"Harris, Burke and Henderson",West Carly,SE,A,03
C000051,Davidson-Perez,South Amy,US,C,03
C000052,Chavez Group,Pearsonburgh,GB,C,02
C000053,"Ponce, Crawford and Smith",Caitlinmouth,US,B,02
C000054,Fox-Hopkins,Port Jasontown,DE,B,01
C000055,Allen-Howell,West Renee,GB,C,01
C000056,Lynch Ltd,Donaldfort,SE,A,03
C000057,"Mendez, Buchanan and Jones",Stewartport,GB,C,03
C000058,Fletcher Inc,East Donnaville,SE,A,01
C000059,Miranda LLC,Kathychester,GB,A,03
C000060,Hunt-Heath,Josephton,SE,A,03
C000061,"Noble, Smith and Smith",Lawsonland,GB,B,01
C000062,"Williams, Smith and Werner",East Edwardberg,US,B,02
C000063,Williams Ltd,Jacobsborough,DE,A,01
C000064,"Williams, Clark and Archer",New Juliamouth,SE,A,01
C000065,"Bishop, Garcia and Owens",West Whitneychester,FR,A,03
C000066,"Stout, Miller and Melendez",Holdenstad,DE,A,03
C000067,King Inc,South Brendaland,FR,C,01
C000068,"Powers, Barnes and Ford",East Rodneyland,GB,C,03
C000069,Harris Inc,New Barbara,FR,A,03
C000070,Walker-Li,Port Kevinstad,DE,C,02
C000071,Reynolds and Sons,Greenton,FR,C,03
C000072,Watson-Krueger,Julieburgh,GB,B,03
C000073,"Brown, Rivas and Rodriguez",Harrisontown,FR,A,01
C000074,Osborn-Mccarthy,Ethanshire,DE,A,02
C000075,"Horne, Clark and Jones",Markview,US,C,03
C000076,Arnold PLC,Kimhaven,DE,C,01
C000077,"Wood, Adams and Nelson",West Williestad,US,A,03
C000078,"Johnson, Cardenas and Smith",Port Teresa,US,A,01
C000079,"Ramirez, Clark and Osborne",North Mercedes,US,B,01
C000080,Brown-Chan,Wrightport,SE,A,02
