MATNR,MAKTX,MATKL,MEINS,BRGEW,NTGEW,MTART
MAT000001,PACK Material 1,PACK,KG,27.01,32.58,ROH
MAT000002,CONS Material 2,CONS,M,12.23,21.34,HAWA
MAT000003,MECH Material 3,MECH,EA,4.94,19.45,HAWA
MAT000004,PACK Material 4,PACK,M,43.21,2.53,ROH
MAT000005,ELEC Material 5,ELEC,EA,20.19,15.33,FERT
MAT000006,MECH Material 6,MECH,KG,9.59,20.24,HAWA
MAT000007,MECH Material 7,MECH,L,23.19,39.36,FERT
MAT000008,PACK Material 8,PACK,EA,2.62,44.97,FERT
MAT000009,ELEC Material 9,ELEC,KG,8.4,21.91,FERT
MAT000010,PACK Material 10,PACK,EA,8.32,0.2,HAWA
MAT000011,CHEM Material 11,CHEM,M,14.33,31.38,ROH
MAT000012,CONS Material 12,CONS,M,7.82,13.42,FERT
MAT000013,CONS Material 13,CONS,EA,37.42,2.67,ROH
MAT000014,PACK Material 14,PACK,KG,2.94,22.9,FERT
MAT000015,ELEC Material 15,ELEC,EA,33.79,10.66,FERT
MAT000016,CONS Material 16,CONS,KG,28.99,1.88,FERT
MAT000017,PACK Material 17,PACK,L,46.74,9.27,ROH
MAT000018,CHEM Material 18,CHEM,KG,13.35,5.98,ROH
MAT000019,CHEM Material 19,CHEM,M,15.88,33.86,FERT
MAT000020,ELEC Material 20,ELEC,M,31.1,25.38,FERT
MAT000021,ELEC Material 21,ELEC,KG,25.34,6.05,HAWA
MAT000022,ELEC Material 22,ELEC,KG,18.54,7.18,ROH
MAT000023,CHEM Material 23,CHEM,EA,33.43,25.0,ROH
MAT000024,ELEC Material 24,ELEC,KG,13.3,40.05,ROH
MAT000025,CONS Material 25,CONS,KG,13.69,27.26,ROH
MAT000026,CHEM Material 26,CHEM,KG,34.41,38.4,ROH
MAT000027,PACK Material 27,PACK,L,45.28,38.09,FERT
MAT000028,PACK Material 28,PACK,L,2.3,15.08,FERT
MAT000029,CHEM Material 29,CHEM,KG,37.09,24.87,HAWA
MAT000030,CONS Material 30,CONS,EA,5.68,42.53,ROH
MAT000031,MECH Material 31,MECH,EA,41.75,26.25,FERT
MAT000032,PACK Material 32,PACK,KG,2.19,16.47,FERT
MAT000033,CHEM Material 33,CHEM,KG,34.14,30.05,HAWA
MAT000034,CONS Material 34,CONS,M,48.69,33.75,FERT
MAT000035,MECH Material 35,MECH,KG,44.08,1.21,ROH
MAT000036,CHEM Material 36,CHEM,M,40.13,38.9,FERT
MAT000037,CHEM Material 37,CHEM,KG,39.39,4.95,FERT
MAT000038,PACK Material 38,PACK,KG,10.06,41.34,HAWA
MAT000039,CHEM Material 39,CHEM,KG,11.22,29.74,HAWA
MAT000040,CHEM Material 40,CHEM,L,43.23,43.51,HAWA
