VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00000001,2022-11-24,OR,C000069,1000,20,00,GBP
OR00000002,2024-06-09,OR,C000047,3000,20,02,EUR
OR00000003,2023-09-09,OR,C000038,1000,20,02,EUR
OR00000004,2023-05-26,ZOR,C000060,3000,10,02,EUR
OR00000005,2022-03-23,OR,C000019,1000,20,02,USD
OR00000006,2022-03-23,ZOR,C000059,3000,30,02,GBP
OR00000007,2021-09-30,ZOR,C000031,1000,30,01,USD
OR00000008,2024-01-28,RE,C000050,1000,30,01,EUR
OR00000009,2023-05-27,RE,C000069,1000,20,00,EUR
OR00000010,2023-08-20,ZOR,C000007,2000,10,01,EUR
OR00000011,2021-06-12,OR,C000080,1000,20,02,USD
OR00000012,2024-07-23,ZOR,C000075,3000,30,01,EUR
OR00000013,2023-12-19,ZOR,C000045,3000,20,00,GBP
OR00000014,2022-06-06,RE,C000060,3000,20,01,USD
OR00000015,2022-04-28,ZOR,C000044,2000,10,01,USD
OR00000016,2022-04-30,OR,C000063,1000,20,00,EUR
OR00000017,2022-09-16,ZOR,C000035,1000,10,02,USD
OR00000018,2023-03-31,OR,C000036,3000,20,02,USD
OR00000019,2023-01-14,OR,C000011,3000,20,02,GBP
OR00000020,2022-09-03,ZOR,C000027,3000,10,00,USD
OR00000021,2023-06-04,RE,C000059,1000,20,02,GBP
OR00000022,2022-02-27,ZOR,C000077,2000,10,01,GBP
OR00000023,2022-09-04,OR,C000035,1000,20,02,GBP
OR00000024,2022-11-16,ZOR,C000059,2000,20,00,EUR
OR00000025,2023-02-03,RE,C000080,2000,10,00,EUR
OR00000026,2023-10-30,OR,C000012,2000,10,02,USD
OR00000027,2022-05-21,RE,C000037,3000,30,01,USD
OR00000028,2023-03-22,ZOR,C000050,1000,10,02,GBP
OR00000029,2023-05-21,ZOR,C000069,3000,30,01,GBP
OR00000030,2021-09-01,ZOR,C000030,1000,30,02,USD
OR00000031,2023-06-01,RE,C000030,2000,20,01,GBP
OR00000032,2022-04-13,ZOR,C000045,3000,20,02,EUR
OR00000033,2021-10-16,ZOR,C000030,1000,30,00,GBP
OR00000034,2024-06-05,ZOR,C000068,1000,20,01,EUR
OR00000035,2024-07-12,RE,C000075,2000,10,02,USD
OR00000036,2023-11-22,ZOR,C000050,3000,30,02,GBP
OR00000037,2022-09-17,OR,C000051,1000,20,00,GBP
OR00000038,2021-12-20,OR,C000076,2000,10,02,USD
OR00000039,2023-07-31,RE,C000017,1000,30,00,EUR
OR00000040,2023-01-21,ZOR,C000010,3000,10,00,USD
OR00000041,2022-01-31,OR,C000056,2000,20,01,EUR
OR00000042,2023-03-07,ZOR,C000016,3000,20,02,USD
OR00000043,2021-07-29,RE,C000072,3000,30,02,USD
OR00000044,2024-03-27,OR,C000012,2000,20,01,EUR
OR00000045,2022-07-30,ZOR,C000011,3000,20,01,GBP
OR00000046,2023-07-13,ZOR,C000016,3000,20,00,USD
OR00000047,2022-09-24,ZOR,C000022,3000,20,00,EUR
OR00000048,2023-03-27,OR,C000040,2000,10,00,GBP
OR00000049,2023-04-17,OR,C000019,1000,20,00,USD
OR00000050,2022-05-02,ZOR,C000041,1000,20,01,GBP
