VBELN,POSNR,MATNR,MATKL,WERKS,KWMENG,NETPR,NETWR,ERDAT,LGORT
OR00000001,000010,MAT000003,MECH,P003,147,394.28,57959.16,2022-11-24,L004
OR00000001,000020,MAT000007,MECH,P003,260,62.24,16182.4,2022-11-24,L002
OR00000001,000030,MAT000039,CHEM,P003,75,220.85,16563.75,2022-11-24,L002
OR00000002,000010,MAT000020,ELEC,P004,90,207.15,18643.5,2024-06-09,L004
OR00000003,000010,MAT000040,CHEM,P005,75,417.69,31326.75,2023-09-09,L003
OR00000003,000020,MAT000037,CHEM,P005,65,393.95,25606.75,2023-09-09,L003
OR00000004,000010,MAT000006,MECH,P004,140,311.53,43614.2,2023-05-26,L001
OR00000004,000020,MAT000019,CHEM,P004,172,158.66,27289.52,2023-05-26,L002
OR00000005,000010,MAT000027,PACK,P001,121,78.05,9444.05,2022-03-23,L001
OR00000005,000020,MAT000037,CHEM,P001,220,443.31,97528.2,2022-03-23,L004
OR00000005,000030,MAT000013,CONS,P001,49,479.19,23480.31,2022-03-23,L004
OR00000005,000040,MAT000025,CONS,P001,13,459.15,5968.95,2022-03-23,L001
OR00000006,000010,MAT000029,CHEM,P002,124,276.2,34248.8,2022-03-23,L002
OR00000006,000020,MAT000040,CHEM,P002,218,227.78,49656.04,2022-03-23,L002
OR00000006,000030,MAT000033,CHEM,P002,149,389.95,58102.55,2022-03-23,L004
OR00000007,000010,MAT000022,ELEC,P003,17,119.47,2030.99,2021-09-30,L002
OR00000007,000020,MAT000021,ELEC,P003,160,210.36,33657.6,2021-09-30,L003
OR00000007,000030,MAT000035,MECH,P003,137,35.82,4907.34,2021-09-30,L004
OR00000008,000010,MAT000023,CHEM,P005,84,427.46,35906.64,2024-01-28,L004
OR00000009,000010,MAT000032,PACK,P005,184,205.14,37745.76,2023-05-27,L002
OR00000009,000020,MAT000002,CONS,P005,140,490.46,68664.4,2023-05-27,L001
OR00000009,000030,MAT000025,CONS,P005,104,333.18,34650.72,2023-05-27,L001
OR00000009,000040,MAT000022,ELEC,P005,160,434.09,69454.4,2023-05-27,L002
OR00000010,000010,MAT000025,CONS,P003,73,237.8,17359.4,2023-08-20,L001
OR00000010,000020,MAT000018,CHEM,P003,80,38.97,3117.6,2023-08-20,L001
OR00000010,000030,MAT000027,PACK,P003,157,127.41,20003.37,2023-08-20,L001
OR00000011,000010,MAT000030,CONS,P002,140,304.92,42688.8,2021-06-12,L001
OR00000011,000020,MAT000017,PACK,P002,169,482.54,81549.26,2021-06-12,L001
OR00000012,000010,MAT000005,ELEC,P001,150,125.21,18781.5,2024-07-23,L003
OR00000012,000020,MAT000038,PACK,P001,137,64.92,8894.04,2024-07-23,L001
OR00000013,000010,MAT000001,PACK,P005,38,184.28,7002.64,2023-12-19,L004
OR00000013,000020,MAT000027,PACK,P005,219,92.19,20189.61,2023-12-19,L003
OR00000013,000030,MAT000032,PACK,P005,248,271.4,67307.2,2023-12-19,L004
OR00000014,000010,MAT000018,CHEM,P004,78,235.03,18332.34,2022-06-06,L004
OR00000015,000010,MAT000017,PACK,P001,165,141.75,23388.75,2022-04-28,L001
OR00000015,000020,MAT000022,ELEC,P001,156,47.38,7391.28,2022-04-28,L004
OR00000015,000030,MAT000018,CHEM,P001,128,123.96,15866.88,2022-04-28,L004
OR00000016,000010,MAT000020,ELEC,P004,93,267.81,24906.33,2022-04-30,L004
OR00000016,000020,MAT000038,PACK,P004,194,179.15,34755.1,2022-04-30,L004
OR00000017,000010,MAT000008,PACK,P003,44,244.68,10765.92,2022-09-16,L003
OR00000017,000020,MAT000035,MECH,P003,29,151.64,4397.56,2022-09-16,L003
OR00000017,000030,MAT000012,CONS,P003,42,355.47,14929.74,2022-09-16,L002
OR00000018,000010,MAT000007,MECH,P001,119,173.65,20664.35,2023-03-31,L001
OR00000018,000020,MAT000001,PACK,P001,76,241.48,18352.48,2023-03-31,L001
OR00000018,000030,MAT000037,CHEM,P001,102,290.63,29644.26,2023-03-31,L001
OR00000018,000040,MAT000019,CHEM,P001,33,283.61,9359.13,2023-03-31,L003
OR00000019,000010,MAT000034,CONS,P002,134,152.19,20393.46,2023-01-14,L004
OR00000019,000020,MAT000025,CONS,P002,81,34.81,2819.61,2023-01-14,L001
OR00000020,000010,MAT000036,CHEM,P002,32,228.0,7296.0,2022-09-03,L004
OR00000020,000020,MAT000005,ELEC,P002,60,147.61,8856.6,2022-09-03,L003
OR00000021,000010,MAT000028,PACK,P001,93,78.75,7323.75,2023-06-04,L003
OR00000021,000020,MAT000008,PACK,P001,22,87.13,1916.86,2023-06-04,L003
OR00000022,000010,MAT000026,CHEM,P005,138,44.82,6185.16,2022-02-27,L001
OR00000022,000020,MAT000018,CHEM,P005,121,303.84,36764.64,2022-02-27,L001
OR00000022,000030,MAT000033,CHEM,P005,21,338.78,7114.38,2022-02-27,L001
OR00000023,000010,MAT000018,CHEM,P005,183,484.68,88696.44,2022-09-04,L004
OR00000023,000020,MAT000012,CONS,P005,86,163.92,14097.12,2022-09-04,L001
OR00000023,000030,MAT000038,PACK,P005,39,348.37,13586.43,2022-09-04,L003
OR00000023,000040,MAT000028,PACK,P005,200,407.72,81544.0,2022-09-04,L001
OR00000024,000010,MAT000035,MECH,P001,160,97.85,15656.0,2022-11-16,L003
OR00000025,000010,MAT000019,CHEM,P004,177,19.29,3414.33,2023-02-03,L002
OR00000025,000020,MAT000029,CHEM,P004,157,277.67,43594.19,2023-02-03,L004
OR00000026,000010,MAT000019,CHEM,P002,206,125.65,25883.9,2023-10-30,L002
OR00000026,000020,MAT000033,CHEM,P002,121,301.69,36504.49,2023-10-30,L002
OR00000026,000030,MAT000018,CHEM,P002,22,396.05,8713.1,2023-10-30,L004
