MATNR,MATKL,YEAR_MONTH,DEMAND,REVENUE,N_ORDERS,MONTH,QUARTER,YEAR,IS_Q4,IS_SUMMER,LAG_1,LAG_2,LAG_3,LAG_6,LAG_12,ROLL_3_MEAN,ROLL_6_MEAN,ROLL_3_STD,MATKL_ENC
MAT000001,PACK,2022-04-01,152,56156.4,2,4,2,2022,0,0,253.0,381.0,64.0,403.0,65.0,232.66666666666666,377.5,159.47518093212304,0
MAT000001,PACK,2022-05-01,663,139461.95,8,5,2,2022,0,0,152.0,253.0,381.0,673.0,42.0,262.0,335.6666666666667,114.76497723608908,0
MAT000001,PACK,2022-06-01,856,211818.49,11,6,2,2022,0,1,663.0,152.0,253.0,491.0,283.0,356.0,334.0,270.62335449846165,0
MAT000001,PACK,2022-07-01,189,73531.46,4,7,3,2022,0,1,856.0,663.0,152.0,64.0,198.0,557.0,394.8333333333333,363.77328104191486,0
MAT000001,PACK,2022-08-01,762,163186.97,9,8,3,2022,0,1,189.0,856.0,663.0,381.0,73.0,569.3333333333334,415.6666666666667,343.223445197634,0
MAT000001,PACK,2022-09-01,174,57383.64,2,9,3,2022,0,0,762.0,189.0,856.0,253.0,296.0,602.3333333333334,479.1666666666667,361.0295463439707,0
MAT000001,PACK,2022-10-01,464,152042.7,4,10,4,2022,1,0,174.0,762.0,189.0,152.0,403.0,375.0,466.0,335.2357379516689,0
MAT000001,PACK,2022-11-01,654,101763.82,5,11,4,2022,1,0,464.0,174.0,762.0,663.0,673.0,466.6666666666667,518.0,294.0090701548735,0
MAT000001,PACK,2022-12-01,1434,353670.56,10,12,4,2022,1,0,654.0,464.0,174.0,856.0,491.0,430.6666666666667,516.5,241.7298767908786,0
MAT000001,PACK,2023-01-01,1005,266385.57,10,1,1,2023,0,0,1434.0,654.0,464.0,189.0,64.0,850.6666666666666,612.8333333333334,514.0363151892415,0
MAT000001,PACK,2023-02-01,1000,164896.31,9,2,1,2023,0,0,1005.0,1434.0,654.0,762.0,381.0,1031.0,748.8333333333334,390.6494592342345,0
MAT000001,PACK,2023-03-01,1384,440962.24,16,3,1,2023,0,0,1000.0,1005.0,1434.0,174.0,253.0,1146.3333333333333,788.5,249.1391846605691,0
MAT000001,PACK,2023-04-01,1233,289955.78,12,4,2,2023,0,0,1384.0,1000.0,1005.0,464.0,152.0,1129.6666666666667,990.1666666666666,220.27331507319076,0
MAT000001,PACK,2023-05-01,816,152162.15,10,5,2,2023,0,0,1233.0,1384.0,1000.0,654.0,663.0,1205.6666666666667,1118.3333333333333,193.45369816401342,0
MAT000001,PACK,2023-06-01,558,200953.18,9,6,2,2023,0,1,816.0,1233.0,1384.0,1434.0,856.0,1144.3333333333333,1145.3333333333333,294.1977792800843,0
MAT000001,PACK,2023-07-01,199,75116.11,5,7,3,2023,0,1,558.0,816.0,1233.0,1005.0,189.0,869.0,999.3333333333334,340.60681144099254,0
MAT000001,PACK,2023-08-01,1291,306906.25,10,8,3,2023,0,1,199.0,558.0,816.0,1000.0,762.0,524.3333333333334,865.0,309.87470586243916,0
MAT000001,PACK,2023-09-01,1137,343695.75,12,9,3,2023,0,0,1291.0,199.0,558.0,1384.0,174.0,682.6666666666666,913.5,556.5719480294827,0
MAT000001,PACK,2023-10-01,1596,342184.06,10,10,4,2023,1,0,1137.0,1291.0,199.0,1233.0,464.0,875.6666666666666,872.3333333333334,591.0476574129476,0
MAT000001,PACK,2023-11-01,798,145008.75,7,11,4,2023,1,0,1596.0,1137.0,1291.0,816.0,654.0,1341.3333333333333,932.8333333333334,233.60293947922213,0
MAT000001,PACK,2023-12-01,480,99170.39,6,12,4,2023,1,0,798.0,1596.0,1137.0,558.0,1434.0,1177.0,929.8333333333334,400.50093632849325,0
MAT000001,PACK,2024-01-01,1493,470307.51,11,1,1,2024,0,0,480.0,798.0,1596.0,199.0,1005.0,958.0,916.8333333333334,574.9469540748953,0
MAT000001,PACK,2024-02-01,445,81184.95,6,2,1,2024,0,0,1493.0,480.0,798.0,1291.0,1000.0,923.6666666666666,1132.5,518.0601638162628,0
MAT000001,PACK,2024-03-01,535,98256.72,4,3,1,2024,0,0,445.0,1493.0,480.0,1137.0,1384.0,806.0,991.5,595.2167672369452,0
MAT000001,PACK,2024-04-01,627,122226.66,5,4,2,2024,0,0,535.0,445.0,1493.0,1596.0,1233.0,824.3333333333334,891.1666666666666,580.828144405325,0
MAT000001,PACK,2024-05-01,533,169189.61,5,5,2,2024,0,0,627.0,535.0,445.0,798.0,816.0,535.6666666666666,729.6666666666666,91.00183148340066,0
MAT000001,PACK,2024-06-01,103,49311.25,1,6,2,2024,0,1,533.0,627.0,535.0,480.0,558.0,565.0,685.5,53.7028863283893,0
MAT000001,PACK,2024-07-01,498,111465.06,7,7,3,2024,0,1,103.0,533.0,627.0,1493.0,199.0,421.0,622.6666666666666,279.3778802983514,0
MAT000001,PACK,2024-08-01,319,74358.98000000001,3,8,3,2024,0,1,498.0,103.0,533.0,445.0,1291.0,378.0,456.8333333333333,238.799078725191,0
MAT000001,PACK,2024-09-01,245,44927.08,4,9,3,2024,0,0,319.0,498.0,103.0,535.0,1137.0,306.6666666666667,435.8333333333333,197.7886076935002,0
MAT000001,PACK,2024-10-01,82,35875.0,1,10,4,2024,1,0,245.0,319.0,498.0,627.0,1596.0,354.0,387.5,130.0807441553129,0
MAT000001,PACK,2024-11-01,577,144274.75,3,11,4,2024,1,0,82.0,245.0,319.0,533.0,798.0,215.33333333333334,296.6666666666667,121.25317865249296,0
MAT000002,CONS,2022-06-01,785,161258.33,12,6,2,2022,0,1,675.0,675.0,164.0,146.0,53.0,504.6666666666667,414.3333333333333,295.0259875558988,1
MAT000002,CONS,2022-07-01,415,90375.48999999999,7,7,3,2022,0,1,785.0,675.0,675.0,248.0,123.0,711.6666666666666,520.8333333333334,63.50852961085885,1
MAT000002,CONS,2022-08-01,166,75501.78,1,8,3,2022,0,1,415.0,785.0,675.0,578.0,108.0,625.0,548.6666666666666,190.0,1
MAT000002,CONS,2022-09-01,1368,475863.28,12,9,3,2022,0,0,166.0,415.0,785.0,164.0,480.0,455.3333333333333,480.0,311.4648187730572,1
MAT000002,CONS,2022-10-01,985,406649.58,7,10,4,2022,1,0,1368.0,166.0,415.0,675.0,121.0,649.6666666666666,680.6666666666666,634.4307159440922,1
MAT000002,CONS,2022-11-01,713,166378.71000000002,8,11,4,2022,1,0,985.0,1368.0,166.0,675.0,101.0,839.6666666666666,732.3333333333334,614.0377295682516,1
MAT000002,CONS,2022-12-01,1729,499507.85,10,12,4,2022,1,0,713.0,985.0,1368.0,785.0,146.0,1022.0,738.6666666666666,329.06382359657823,1
MAT000002,CONS,2023-01-01,1349,341016.84,12,1,1,2023,0,0,1729.0,713.0,985.0,415.0,248.0,1142.3333333333333,896.0,525.9556381800021,1
MAT000002,CONS,2023-02-01,826,110272.12999999999,11,2,1,2023,0,0,1349.0,1729.0,713.0,166.0,578.0,1263.6666666666667,1051.6666666666667,513.3471859602752,1
MAT000002,CONS,2023-03-01,545,187130.99,5,3,1,2023,0,0,826.0,1349.0,1729.0,1368.0,164.0,1301.3333333333333,1161.6666666666667,453.38320804076244,1
MAT000002,CONS,2023-04-01,1105,297369.04,8,4,2,2023,0,0,545.0,826.0,1349.0,985.0,675.0,906.6666666666666,1024.5,408.0249175397664,1
MAT000002,CONS,2023-05-01,1623,500189.31,18,5,2,2023,0,0,1105.0,545.0,826.0,713.0,675.0,825.3333333333334,1044.5,280.0005952374623,1
MAT000002,CONS,2023-06-01,741,170888.6,10,6,2,2023,0,1,1623.0,1105.0,545.0,1729.0,785.0,1091.0,1196.1666666666667,539.1363463911516,1
MAT000002,CONS,2023-07-01,665,201671.36,11,7,3,2023,0,1,741.0,1623.0,1105.0,1349.0,415.0,1156.3333333333333,1031.5,443.2350768309444,1
MAT000002,CONS,2023-08-01,1535,271346.7,16,8,3,2023,0,1,665.0,741.0,1623.0,826.0,166.0,1009.6666666666666,917.5,532.5197961891494,1
MAT000002,CONS,2023-09-01,380,93912.0,4,9,3,2023,0,0,1535.0,665.0,741.0,545.0,1368.0,980.3333333333334,1035.6666666666667,481.8561334395705,1
MAT000002,CONS,2023-10-01,2138,377423.46,13,10,4,2023,1,0,380.0,1535.0,665.0,1105.0,985.0,860.0,1008.1666666666666,601.6851336039473,1
MAT000002,CONS,2023-11-01,1088,262726.04,8,11,4,2023,1,0,2138.0,380.0,1535.0,1623.0,713.0,1351.0,1180.3333333333333,893.3269278377317,1
MAT000002,CONS,2023-12-01,384,107053.26,3,12,4,2023,1,0,1088.0,2138.0,380.0,741.0,1729.0,1202.0,1091.1666666666667,884.526992239355,1
MAT000002,CONS,2024-01-01,1088,347767.94,9,1,1,2024,0,0,384.0,1088.0,2138.0,665.0,1349.0,1203.3333333333333,1031.6666666666667,882.669436048022,1
MAT000002,CONS,2024-02-01,439,125189.85,6,2,1,2024,0,0,1088.0,384.0,1088.0,1535.0,826.0,853.3333333333334,1102.1666666666667,406.45458950949643,1
MAT000002,CONS,2024-03-01,650,158526.49,7,3,1,2024,0,0,439.0,1088.0,384.0,380.0,545.0,637.0,919.5,391.54437807226896,1
MAT000002,CONS,2024-04-01,258,96552.60999999999,4,4,2,2024,0,0,650.0,439.0,1088.0,2138.0,1105.0,725.6666666666666,964.5,331.0503486379878,1
MAT000002,CONS,2024-05-01,222,43414.68,5,5,2,2024,0,0,258.0,650.0,439.0,1088.0,1623.0,449.0,651.1666666666666,196.191233239408,1
MAT000002,CONS,2024-06-01,123,16705.02,2,6,2,2024,0,1,222.0,258.0,650.0,384.0,741.0,376.6666666666667,506.8333333333333,237.39699520704363,1
MAT000002,CONS,2024-07-01,106,31825.44,1,7,3,2024,0,1,123.0,222.0,258.0,1088.0,665.0,201.0,463.3333333333333,69.907081186384,1
MAT000002,CONS,2024-08-01,282,29405.489999999998,3,8,3,2024,0,1,106.0,123.0,222.0,439.0,1535.0,150.33333333333334,299.6666666666667,62.64449962552973,1
MAT000002,CONS,2024-09-01,130,35815.32,2,9,3,2024,0,0,282.0,106.0,123.0,650.0,380.0,170.33333333333334,273.5,97.07900562600032,1
MAT000002,CONS,2024-10-01,104,48992.32,1,10,4,2024,1,0,130.0,282.0,106.0,258.0,2138.0,172.66666666666666,186.83333333333334,95.4428275635891,1
MAT000002,CONS,2024-11-01,250,53415.0,1,11,4,2024,1,0,104.0,130.0,282.0,222.0,1088.0,172.0,161.16666666666666,96.14572273377361,1
MAT000003,MECH,2022-03-01,153,23925.82,2,3,1,2022,0,0,961.0,164.0,212.0,671.0,28.0,445.6666666666667,569.3333333333334,446.9366099720779,2
MAT000003,MECH,2022-04-01,338,117183.03,5,4,2,2022,0,0,153.0,961.0,164.0,1045.0,132.0,426.0,483.0,463.3562344460253,2
MAT000003,MECH,2022-05-01,326,39650.7,3,5,2,2022,0,0,338.0,153.0,961.0,363.0,235.0,484.0,365.1666666666667,423.3237531724389,2
MAT000003,MECH,2022-06-01,304,90089.16,4,6,2,2022,0,1,326.0,338.0,153.0,212.0,90.0,272.3333333333333,359.0,103.51972436851493,2
MAT000003,MECH,2022-07-01,57,7918.860000000001,2,7,3,2022,0,1,304.0,326.0,338.0,164.0,313.0,322.6666666666667,374.3333333333333,17.243356208502632,2
MAT000003,MECH,2022-08-01,820,224969.72,9,8,3,2022,0,1,57.0,304.0,326.0,961.0,313.0,229.0,356.5,149.3619764197032,2
MAT000003,MECH,2022-09-01,819,183860.96000000002,7,9,3,2022,0,0,820.0,57.0,304.0,153.0,671.0,393.6666666666667,333.0,389.3229165273132,2
MAT000003,MECH,2022-10-01,1833,689059.5700000001,13,10,4,2022,1,0,819.0,820.0,57.0,338.0,1045.0,565.3333333333334,444.0,440.2298641997535,2
MAT000003,MECH,2022-11-01,1724,552202.63,14,11,4,2022,1,0,1833.0,819.0,820.0,326.0,363.0,1157.3333333333333,693.1666666666666,585.1447114460948,2
MAT000003,MECH,2022-12-01,376,70459.2,4,12,4,2022,1,0,1724.0,1833.0,819.0,304.0,212.0,1458.6666666666667,926.1666666666666,556.6420154222402,2
MAT000003,MECH,2023-01-01,863,278105.20999999996,7,1,1,2023,0,0,376.0,1724.0,1833.0,57.0,164.0,1311.0,938.1666666666666,811.5657705941029,2
MAT000003,MECH,2023-02-01,1601,246047.71,13,2,1,2023,0,0,863.0,376.0,1724.0,820.0,961.0,987.6666666666666,1072.5,682.5923624926764,2
MAT000003,MECH,2023-03-01,924,302419.88,11,3,1,2023,0,0,1601.0,863.0,376.0,819.0,153.0,946.6666666666666,1202.6666666666667,616.7708920931121,2
MAT000003,MECH,2023-04-01,861,199403.3,11,4,2,2023,0,0,924.0,1601.0,863.0,1833.0,338.0,1129.3333333333333,1220.1666666666667,409.61241843153795,2
MAT000003,MECH,2023-05-01,1998,458209.35,17,5,2,2023,0,0,861.0,924.0,1601.0,1724.0,326.0,1128.6666666666667,1058.1666666666667,410.26373631279347,2
MAT000003,MECH,2023-06-01,644,183429.2,12,6,2,2023,0,1,1998.0,861.0,924.0,376.0,304.0,1261.0,1103.8333333333333,639.0375575817121,2
MAT000003,MECH,2023-07-01,1078,349907.35000000003,13,7,3,2023,0,1,644.0,1998.0,861.0,863.0,57.0,1167.6666666666667,1148.5,727.2292165014642,2
MAT000003,MECH,2023-08-01,723,255571.06,7,8,3,2023,0,1,1078.0,644.0,1998.0,1601.0,820.0,1240.0,1184.3333333333333,691.3841189960904,2
MAT000003,MECH,2023-09-01,1002,268975.35,8,9,3,2023,0,0,723.0,1078.0,644.0,924.0,819.0,815.0,1038.0,231.1644436326662,2
MAT000003,MECH,2023-10-01,657,204315.6,3,10,4,2023,1,0,1002.0,723.0,1078.0,861.0,1833.0,934.3333333333334,1051.0,186.92333544352735,2
MAT000003,MECH,2023-11-01,1112,261692.38999999998,9,11,4,2023,1,0,657.0,1002.0,723.0,1998.0,1724.0,794.0,1017.0,183.13110058097755,2
MAT000003,MECH,2023-12-01,1273,300623.89,9,12,4,2023,1,0,1112.0,657.0,1002.0,644.0,376.0,923.6666666666666,869.3333333333334,237.39910137431747,2
MAT000003,MECH,2024-01-01,467,109010.07,6,1,1,2024,0,0,1273.0,1112.0,657.0,1078.0,863.0,1014.0,974.1666666666666,319.4792638028329,2
MAT000003,MECH,2024-02-01,492,157630.33,5,2,1,2024,0,0,467.0,1273.0,1112.0,723.0,1601.0,950.6666666666666,872.3333333333334,426.5329217461806,2
MAT000003,MECH,2024-03-01,89,3684.99,2,3,1,2024,0,0,492.0,467.0,1273.0,1002.0,924.0,744.0,833.8333333333334,458.2979380272184,2
MAT000003,MECH,2024-04-01,179,47964.369999999995,2,4,2,2024,0,0,89.0,492.0,467.0,657.0,861.0,349.3333333333333,681.6666666666666,225.80153527674128,2
